sensor_id,sensor_name
0,'b827eb0d8af7' 
1,'b827eb0fedda' 
2,'b827eb122f0f' 
3,'b827eb132382' 
4,'b827eb1685c7' 
5,'b827eb252949' 
6,'b827eb29eb77' 
7,'b827eb2a1bce' 
8,'b827eb2c65db' 
9,'b827eb329ab8' 
10,'b827ebc7f772' 
11,'b827eb3bda47' 
12,'b827eb3e842e' 
13,'b827eb429cd4' 
14,'b827eb42bd4a' 
15,'b827eb43d8f4' 
16,'b827eb44506f' 
17,'b827eb4cc22e' 
18,'b827eb4e7821' 
19,'b827eb539980' 
20,'b827eb5895e9' 
21,'b827eb5d1714' 
22,'b827eb73e772' 
23,'b827eb7b2c3e' 
24,'b827eb815321' 
25,'b827eb820cfe' 
26,'b827eb84deb5' 
27,'b827eb86d458' 
28,'b827eb8e1f0b' 
29,'b827eb8e2420' 
30,'b827eb8e32ad' 
31,'b827eb905497' 
32,'b827eb9bed23' 
33,'b827eb9d0e7f' 
34,'b827ebad073b' 
35,'b827ebb40450' 
36,'b827ebba613d' 
37,'b827ebc6dcc6' 
38,'b827ebdd5c38' 
39,'b827ebe1fe4b' 
40,'b827ebefb215' 
41,'b827ebf31214' 
42,'_74da385c683d' 
43,'_74da385c684f' 
44,'_74da385c687d' 
45,'b827ebf9d204' 
46,'b827eb977bfb' 
47,'b827ebfd616c' 
48,'b827eb2dcd55' 
49,'b827eb6e8929' 
50,'b827ebafe148' 
51,'b827ebc178d2' 
52,'b827eb74a9e8' 
53,'b827ebe3b72c' 
54,'b827eb32e075' 
55,'b827eb491436' 
56,'b827eb5a9021' 
57,'b827eb18a94a' 
58,'b827eb74a519' 
59,'b827eb44b272' 
60,'b827eba294fa' 
61,'b827eb208550'
